startTime,endTime,value
2025-05-05T14:45:00.000Z,2025-05-05T15:00:00.000Z,340.8
2025-05-05T14:30:00.000Z,2025-05-05T14:45:00.000Z,360.4
2025-05-05T14:15:00.000Z,2025-05-05T14:30:00.000Z,380.0
2025-05-05T14:00:00.000Z,2025-05-05T14:15:00.000Z,399.6
2025-05-05T13:45:00.000Z,2025-05-05T14:00:00.000Z,469.1
2025-05-05T13:30:00.000Z,2025-05-05T13:45:00.000Z,501.1
2025-05-05T13:15:00.000Z,2025-05-05T13:30:00.000Z,533.1
2025-05-05T13:00:00.000Z,2025-05-05T13:15:00.000Z,565.1
2025-05-05T12:45:00.000Z,2025-05-05T13:00:00.000Z,592.6
2025-05-05T12:30:00.000Z,2025-05-05T12:45:00.000Z,615.1
2025-05-05T15:45:00.000Z,2025-05-05T16:00:00.000Z,233.3
2025-05-05T15:30:00.000Z,2025-05-05T15:45:00.000Z,248.5
2025-05-05T15:15:00.000Z,2025-05-05T15:30:00.000Z,263.7
2025-05-05T15:00:00.000Z,2025-05-05T15:15:00.000Z,278.9
2025-05-05T14:45:00.000Z,2025-05-05T15:00:00.000Z,321.2
2025-05-05T14:30:00.000Z,2025-05-05T14:45:00.000Z,353.9
2025-05-05T14:15:00.000Z,2025-05-05T14:30:00.000Z,386.5
2025-05-05T14:00:00.000Z,2025-05-05T14:15:00.000Z,419.1
2025-05-05T16:45:00.000Z,2025-05-05T17:00:00.000Z,116.5
2025-05-05T16:30:00.000Z,2025-05-05T16:45:00.000Z,132.0
2025-05-05T16:15:00.000Z,2025-05-05T16:30:00.000Z,147.5
2025-05-05T16:00:00.000Z,2025-05-05T16:15:00.000Z,163.0
2025-05-05T15:45:00.000Z,2025-05-05T16:00:00.000Z,212.9
2025-05-05T15:30:00.000Z,2025-05-05T15:45:00.000Z,241.7
2025-05-05T15:15:00.000Z,2025-05-05T15:30:00.000Z,270.5
2025-05-05T15:00:00.000Z,2025-05-05T15:15:00.000Z,299.3
2025-05-05T17:45:00.000Z,2025-05-05T18:00:00.000Z,33.9
2025-05-05T17:30:00.000Z,2025-05-05T17:45:00.000Z,44.5
2025-05-05T17:15:00.000Z,2025-05-05T17:30:00.000Z,55.2
2025-05-05T17:00:00.000Z,2025-05-05T17:15:00.000Z,65.8
2025-05-05T16:45:00.000Z,2025-05-05T17:00:00.000Z,94.2
2025-05-05T16:30:00.000Z,2025-05-05T16:45:00.000Z,117.9
2025-05-05T16:15:00.000Z,2025-05-05T16:30:00.000Z,141.7
2025-05-05T16:00:00.000Z,2025-05-05T16:15:00.000Z,165.4
2025-05-05T15:45:00.000Z,2025-05-05T16:00:00.000Z,197.5
2025-05-05T15:30:00.000Z,2025-05-05T15:45:00.000Z,225.8
2025-05-05T18:45:00.000Z,2025-05-05T19:00:00.000Z,-5.6
2025-05-05T18:30:00.000Z,2025-05-05T18:45:00.000Z,0.6
2025-05-05T18:15:00.000Z,2025-05-05T18:30:00.000Z,6.7
2025-05-05T18:00:00.000Z,2025-05-05T18:15:00.000Z,12.8
2025-05-05T17:45:00.000Z,2025-05-05T18:00:00.000Z,26.0
2025-05-05T17:30:00.000Z,2025-05-05T17:45:00.000Z,41.8
2025-05-05T17:15:00.000Z,2025-05-05T17:30:00.000Z,57.5
2025-05-05T17:00:00.000Z,2025-05-05T17:15:00.000Z,73.3
2025-05-05T16:45:00.000Z,2025-05-05T17:00:00.000Z,94.1
2025-05-05T18:45:00.000Z,2025-05-05T19:00:00.000Z,-5.7
2025-05-05T18:30:00.000Z,2025-05-05T18:45:00.000Z,0.5
2025-05-05T18:15:00.000Z,2025-05-05T18:30:00.000Z,6.8
2025-05-05T18:00:00.000Z,2025-05-05T18:15:00.000Z,13.0
2025-05-05T17:45:00.000Z,2025-05-05T18:00:00.000Z,27.3
2025-05-05T17:30:00.000Z,2025-05-05T17:45:00.000Z,42.6
2025-05-05T17:15:00.000Z,2025-05-05T17:30:00.000Z,57.8
2025-05-05T17:00:00.000Z,2025-05-05T17:15:00.000Z,73.1
2025-05-05T16:45:00.000Z,2025-05-05T17:00:00.000Z,90.3
2025-05-05T16:30:00.000Z,2025-05-05T16:45:00.000Z,113.8
2025-05-08T07:45:00.000Z,2025-05-08T08:00:00.000Z,623.1
2025-05-08T07:30:00.000Z,2025-05-08T07:45:00.000Z,611.4
2025-05-08T07:15:00.000Z,2025-05-08T07:30:00.000Z,599.7
2025-05-08T07:00:00.000Z,2025-05-08T07:15:00.000Z,588.0
2025-05-08T06:45:00.000Z,2025-05-08T07:00:00.000Z,557.5
