startTime,endTime,value
2025-05-02T14:15:00.000Z,2025-05-02T14:30:00.000Z,5068.36
2025-05-02T14:00:00.000Z,2025-05-02T14:15:00.000Z,5144.25
2025-05-02T13:45:00.000Z,2025-05-02T14:00:00.000Z,5302.56
2025-05-02T13:30:00.000Z,2025-05-02T13:45:00.000Z,5122.8
2025-05-02T13:15:00.000Z,2025-05-02T13:30:00.000Z,5223.31
2025-05-02T13:00:00.000Z,2025-05-02T13:15:00.000Z,5033.32
2025-05-02T12:45:00.000Z,2025-05-02T13:00:00.000Z,4423.73
2025-05-02T12:30:00.000Z,2025-05-02T12:45:00.000Z,3543.61
2025-05-02T12:15:00.000Z,2025-05-02T12:30:00.000Z,3586.32
2025-05-02T12:00:00.000Z,2025-05-02T12:15:00.000Z,3690.89
2025-05-02T14:30:00.000Z,2025-05-02T14:45:00.000Z,5245.8
2025-05-02T14:45:00.000Z,2025-05-02T15:00:00.000Z,5855.02
2025-05-02T15:30:00.000Z,2025-05-02T15:45:00.000Z,5075.0
2025-05-02T15:15:00.000Z,2025-05-02T15:30:00.000Z,5267.28
2025-05-02T15:00:00.000Z,2025-05-02T15:15:00.000Z,5587.34
2025-05-02T15:45:00.000Z,2025-05-02T16:00:00.000Z,4851.15
2025-05-02T17:00:00.000Z,2025-05-02T17:15:00.000Z,4632.23
2025-05-02T16:45:00.000Z,2025-05-02T17:00:00.000Z,4622.77
2025-05-02T16:30:00.000Z,2025-05-02T16:45:00.000Z,4660.79
2025-05-02T16:15:00.000Z,2025-05-02T16:30:00.000Z,4572.81
2025-05-02T16:00:00.000Z,2025-05-02T16:15:00.000Z,4677.54
2025-05-02T17:15:00.000Z,2025-05-02T17:30:00.000Z,4267.12
2025-05-02T17:30:00.000Z,2025-05-02T17:45:00.000Z,4078.73
2025-05-02T17:45:00.000Z,2025-05-02T18:00:00.000Z,3849.2
2025-05-05T06:45:00.000Z,2025-05-05T07:00:00.000Z,2419.45
2025-05-05T06:30:00.000Z,2025-05-05T06:45:00.000Z,2522.23
2025-05-05T06:15:00.000Z,2025-05-05T06:30:00.000Z,2512.15
2025-05-05T06:00:00.000Z,2025-05-05T06:15:00.000Z,2709.84
2025-05-05T05:45:00.000Z,2025-05-05T06:00:00.000Z,2784.1
2025-05-05T05:30:00.000Z,2025-05-05T05:45:00.000Z,2856.09
2025-05-05T05:15:00.000Z,2025-05-05T05:30:00.000Z,2821.34
2025-05-05T05:00:00.000Z,2025-05-05T05:15:00.000Z,2786.87
2025-05-05T04:45:00.000Z,2025-05-05T05:00:00.000Z,2812.35
2025-05-05T04:30:00.000Z,2025-05-05T04:45:00.000Z,2995.53
2025-05-05T08:00:00.000Z,2025-05-05T08:15:00.000Z,1988.47
2025-05-05T07:45:00.000Z,2025-05-05T08:00:00.000Z,2043.0
2025-05-05T07:30:00.000Z,2025-05-05T07:45:00.000Z,2078.68
2025-05-05T07:15:00.000Z,2025-05-05T07:30:00.000Z,2131.08
2025-05-05T07:00:00.000Z,2025-05-05T07:15:00.000Z,2237.3
2025-05-05T08:15:00.000Z,2025-05-05T08:30:00.000Z,1936.24
2025-05-05T09:00:00.000Z,2025-05-05T09:15:00.000Z,1920.62
2025-05-05T08:45:00.000Z,2025-05-05T09:00:00.000Z,1906.76
2025-05-05T08:30:00.000Z,2025-05-05T08:45:00.000Z,1881.67
2025-05-05T09:15:00.000Z,2025-05-05T09:30:00.000Z,1773.99
2025-05-05T09:30:00.000Z,2025-05-05T09:45:00.000Z,1663.63
2025-05-05T09:45:00.000Z,2025-05-05T10:00:00.000Z,1534.51
2025-05-05T10:00:00.000Z,2025-05-05T10:15:00.000Z,1521.1
2025-05-05T11:00:00.000Z,2025-05-05T11:15:00.000Z,1519.0
2025-05-05T10:45:00.000Z,2025-05-05T11:00:00.000Z,1517.77
2025-05-05T10:30:00.000Z,2025-05-05T10:45:00.000Z,1534.33
2025-05-05T10:15:00.000Z,2025-05-05T10:30:00.000Z,1514.63
2025-05-05T11:15:00.000Z,2025-05-05T11:30:00.000Z,1522.68
2025-05-05T11:30:00.000Z,2025-05-05T11:45:00.000Z,1630.99
2025-05-05T11:45:00.000Z,2025-05-05T12:00:00.000Z,1659.33
2025-05-05T12:30:00.000Z,2025-05-05T12:45:00.000Z,1491.49
2025-05-05T12:15:00.000Z,2025-05-05T12:30:00.000Z,1596.7
2025-05-05T12:00:00.000Z,2025-05-05T12:15:00.000Z,1640.21
